"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,is_weekend,is_holiday,is_peak_morning,is_peak_evening,is_off_peak,road_segment_name,road_class,road_type,segment_latitude,segment_longitude,road_length_km,num_lanes,speed_limit_kmph,has_signal,is_one_way,near_hospital,near_school,near_market,weather_condition,temperature_celsius,humidity_percent,visibility_m,rainfall_mm,wind_speed_kmph,incident_type,incident_active,incident_duration_min,incident_severity,vehicle_density_pct,vehicle_count,trucks_count,two_wheelers_count,cars_count,autos_count,buses_count,ambulances_count,avg_speed_kmph,max_speed_kmph,min_speed_kmph,speed_std_dev,travel_time_min,free_flow_travel_time,delay_minutes,delay_index,queue_length_m,occupancy_rate,headway_seconds,flow_rate_veh_per_hr,saturation_flow_ratio,peak_hour_factor,weather_impact_factor,incident_impact_factor,density_lag_1h,density_lag_2h,density_lag_24h,speed_lag_1h,speed_lag_24h,density_rolling_3h_avg,density_rolling_7d_avg,congestion_level,congestion_score,is_congested"
"11,2024-07-12 01:53:00,2024-07-12,01:53,1,53,Friday,4,7,2024,28,0,0,0,0,1,Gandhi Nagar Road,local,tertiary,12.946222,79.119899,4.75,2,40,0,0,0,0,0,Cloudy,33.9,63.6,3000,0.0,20.5,None,0,0,0,15.52,442,51,208,137,60,34,1,34.8,51.2,13.7,4.11,8.19,7.12,1.07,1.15,737.2,0.155,26.12,93,0.161,0.2,0.97,1.0,5.83,12.01,0.0,41.6,41.6,13.75,22.32,Free Flow,0.155,0"
"12,2023-10-01 05:50:00,2023-10-01,05:50,5,50,Sunday,6,10,2023,39,1,1,0,0,1,Vellore-Chennai NH,NH48,motorway,12.891297,79.125005,8.56,4,100,0,1,0,0,0,Clear,30.9,42.1,5000,0.0,6.7,None,0,0,0,30.76,3159,366,1515,807,179,209,2,79.5,107.8,36.6,14.75,6.46,5.14,1.32,1.257,2633.1,0.308,22.31,369,0.296,0.3,1.0,1.0,43.94,15.37,54.28,74.4,90.6,26.07,15.1,Light,0.308,0"
"13,2023-12-20 23:50:00,2023-12-20,23:50,23,50,Wednesday,2,12,2023,51,0,0,0,0,1,Ranipet Road,NH48,primary,12.883161,79.115699,4.11,3,60,1,0,0,0,0,Clear,34.9,68.1,5000,0.0,20.6,Road Work,1,75,2,6.93,256,22,105,85,21,9,0,57.2,79.4,24.0,6.02,4.31,4.11,0.2,1.049,284.8,0.069,28.27,62,0.064,0.8,1.0,0.65,4.0,0.0,0.0,55.9,67.8,10.48,23.04,Free Flow,0.069,0"
"14,2024-08-05 09:25:00,2024-08-05,09:25,9,25,Monday,0,8,2024,32,0,0,1,0,0,Thorapadi Road,SH66,secondary,12.92415,79.112622,6.8,2,50,1,0,0,1,0,Clear,24.0,55.8,5000,0.0,14.2,None,0,0,0,100.0,4080,571,2281,954,238,207,2,16.7,19.0,11.4,5.05,24.43,8.16,16.27,2.994,6800.0,1.0,5.0,600,0.893,1.8,1.0,1.0,109.2,85.89,77.31,24.4,19.4,105.37,98.22,Gridlock,1.0,1"
"15,2023-07-19 22:44:00,2023-07-19,22:44,22,44,Wednesday,2,7,2023,29,0,0,0,0,1,Vellore Main Bazar,local,tertiary,12.930255,79.125084,4.92,2,40,0,0,0,1,1,Cloudy,31.2,48.1,3000,0.0,24.1,None,0,0,0,57.84,1707,204,841,531,241,46,1,23.8,33.8,13.5,14.84,12.4,7.38,5.02,1.68,2845.7,0.578,15.54,346,0.566,0.8,0.97,1.0,71.34,73.5,63.47,27.3,23.9,64.45,59.75,Moderate,0.578,0"
"16,2024-05-01 14:16:00,2024-05-01,14:16,14,16,Wednesday,2,5,2024,18,0,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.918199,79.127035,9.15,2,40,0,0,0,1,0,Cloudy,39.1,55.3,3000,0.0,10.1,None,0,0,0,21.68,1190,165,495,273,105,34,1,33.2,37.4,15.4,9.05,16.54,13.73,2.81,1.205,1983.7,0.217,24.58,130,0.2,0.8,0.97,1.0,12.89,18.49,41.92,34.5,37.9,28.81,32.3,Light,0.217,0"
"17,2024-05-03 00:22:00,2024-05-03,00:22,0,22,Friday,4,5,2024,18,0,0,0,0,1,Gudiyatham Road,SH149,secondary,12.944178,79.173582,3.93,2,50,1,0,0,0,0,Clear,31.0,89.0,5000,0.0,14.6,Flooding,1,149,4,5.6,132,11,70,37,8,6,1,48.1,71.8,24.7,13.79,4.9,4.72,0.18,1.038,220.1,0.056,28.6,33,0.055,0.2,1.0,0.4,10.49,0.0,2.03,54.0,40.5,0.8,0.0,Free Flow,0.056,0"
"18,2023-12-01 10:48:00,2023-12-01,10:48,10,48,Friday,4,12,2023,48,0,0,1,0,0,Ambur Road,NH234,primary,12.983894,79.140899,10.62,3,60,1,0,0,0,0,Fog,29.0,92.3,300,0.0,19.5,Road Work,1,130,1,9.38,896,112,528,214,46,26,1,39.4,50.8,13.6,14.32,16.17,10.62,5.55,1.523,996.2,0.094,27.66,84,0.088,1.8,0.7,0.65,2.07,4.14,14.67,46.8,44.6,14.94,0.0,Free Flow,0.094,0"
"19,2023-04-21 18:01:00,2023-04-21,18:01,18,1,Friday,4,4,2023,16,0,0,0,1,0,Sathuvachari Road,local,tertiary,12.941021,79.179106,11.18,2,40,0,0,0,1,0,Clear,34.4,89.9,5000,0.0,20.9,None,0,0,0,47.26,3170,254,1701,1144,410,171,0,27.4,33.9,12.9,6.82,24.48,16.77,7.71,1.46,5283.7,0.473,18.19,283,0.45,1.9,1.0,1.0,42.5,61.24,63.38,21.1,38.5,49.97,60.41,Moderate,0.473,0"
"20,2024-03-21 05:46:00,2024-03-21,05:46,5,46,Thursday,3,3,2024,12,0,0,0,0,1,Gandhi Nagar Road,local,tertiary,12.944757,79.125425,6.5,2,40,0,0,0,0,0,Cloudy,35.7,73.9,3000,0.0,7.4,None,0,0,0,8.7,339,48,154,98,42,18,3,36.5,45.1,18.2,6.23,10.68,9.75,0.93,1.095,565.5,0.087,27.82,52,0.082,0.2,0.97,1.0,4.34,0.0,0.0,38.0,45.6,9.82,9.37,Free Flow,0.087,0"
"21,2023-03-29 07:46:00,2023-03-29,07:46,7,46,Wednesday,2,3,2023,13,0,0,0,0,0,Bagayam Road,SH66,primary,12.900672,79.125942,5.17,3,60,1,0,0,0,0,Clear,34.0,53.2,5000,0.0,7.3,None,0,0,0,34.89,1623,188,768,504,136,129,2,46.0,57.1,22.1,5.99,6.74,5.17,1.57,1.304,1803.8,0.349,21.28,313,0.303,0.8,1.0,1.0,41.53,27.51,47.03,53.2,50.6,28.72,44.43,Light,0.349,0"
"22,2024-08-26 16:38:00,2024-08-26,16:38,16,38,Monday,0,8,2024,35,0,1,0,0,0,VIT University Rd,local,secondary,12.967166,79.142955,3.75,2,50,1,0,0,1,0,Clear,25.8,50.7,5000,0.0,8.8,Breakdown,1,13,2,52.5,1181,134,650,260,60,43,3,32.5,41.5,12.1,2.67,6.92,4.5,2.42,1.538,1968.8,0.525,16.88,314,0.568,0.8,1.0,0.8,51.83,65.38,47.54,25.7,35.6,43.57,38.47,Moderate,0.525,0"
"23,2023-11-08 02:15:00,2023-11-08,02:15,2,15,Wednesday,2,11,2023,45,0,0,0,0,1,Vellore Main Bazar,local,tertiary,12.925905,79.121727,1.86,2,40,0,0,0,0,1,Clear,37.8,73.3,5000,0.0,29.7,None,0,0,0,9.84,109,8,57,35,13,8,1,37.4,50.5,15.2,3.06,2.98,2.79,0.19,1.068,183.0,0.098,27.54,58,0.086,0.2,1.0,1.0,11.4,0.0,5.27,40.4,36.7,0.49,1.36,Free Flow,0.098,0"
"24,2024-12-20 14:04:00,2024-12-20,14:04,14,4,Friday,4,12,2024,51,0,0,0,0,0,Sathuvachari Road,local,tertiary,12.939351,79.176246,8.4,2,40,0,0,0,0,0,Clear,40.6,83.3,5000,0.0,27.3,None,0,0,0,64.02,3226,427,1336,752,260,209,2,22.9,29.2,11.2,5.95,22.01,12.6,9.41,1.747,5377.7,0.64,14.0,384,0.589,0.8,1.0,1.0,57.19,65.62,60.91,24.5,32.2,68.71,68.17,Heavy,0.64,1"
"25,2023-04-04 07:43:00,2023-04-04,07:43,7,43,Tuesday,1,4,2023,14,0,0,0,0,0,Arcot Road,NH234,primary,12.902502,79.133463,10.11,3,60,1,0,1,0,0,Cloudy,34.4,92.3,3000,0.0,19.5,None,0,0,0,23.45,2133,302,930,676,242,105,0,49.1,63.2,22.7,6.17,12.35,10.11,2.24,1.222,2370.8,0.234,24.14,210,0.195,0.8,0.97,1.0,13.27,19.92,23.22,51.7,46.7,28.66,4.92,Light,0.234,0"
"26,2023-11-19 08:20:00,2023-11-19,08:20,8,20,Sunday,6,11,2023,46,1,0,1,0,0,CMC Hospital Road,local,secondary,12.923342,79.133684,1.83,2,50,1,0,1,0,0,Fog,37.9,87.6,300,0.0,15.0,Accident,1,148,4,15.47,169,21,74,52,24,7,3,31.4,36.1,21.6,9.92,3.5,2.2,1.3,1.591,283.1,0.155,26.13,92,0.135,0.9,0.7,0.55,5.22,17.5,18.08,24.9,43.2,23.73,13.93,Free Flow,0.155,0"
"27,2024-10-25 04:31:00,2024-10-25,04:31,4,31,Friday,4,10,2024,43,0,0,0,0,1,Vellore Fort Road,local,secondary,12.946413,79.135736,11.23,2,50,1,0,1,0,0,Heavy Rain,29.3,78.8,800,36.7,15.2,Breakdown,1,130,2,2.94,198,27,90,70,18,15,2,31.9,45.6,13.2,5.88,21.12,13.48,7.64,1.567,330.2,0.029,29.27,17,0.029,0.2,0.65,0.8,17.91,2.53,0.0,32.5,28.2,3.98,4.68,Free Flow,0.029,0"
"28,2023-11-26 06:44:00,2023-11-26,06:44,6,44,Sunday,6,11,2023,47,1,0,0,0,0,Ambur Road,NH234,primary,12.986614,79.134761,3.25,3,60,1,0,0,0,0,Cloudy,30.9,87.1,3000,0.0,24.6,Breakdown,1,131,2,43.92,1284,127,523,385,139,92,3,41.2,47.0,27.4,2.2,4.73,3.25,1.48,1.455,1427.4,0.439,19.02,395,0.37,0.9,0.97,0.8,55.05,62.72,22.66,45.7,35.6,46.39,39.82,Moderate,0.439,0"
"29,2023-12-03 21:54:00,2023-12-03,21:54,21,54,Sunday,6,12,2023,48,1,0,0,0,0,CMC Hospital Road,local,secondary,12.928975,79.130848,6.64,2,50,1,0,1,0,0,Clear,41.2,74.5,5000,0.0,8.6,None,0,0,0,45.52,1813,131,757,717,228,112,0,34.8,44.5,20.1,13.74,11.45,7.97,3.48,1.437,3022.5,0.455,18.62,273,0.37,0.9,1.0,1.0,54.4,37.25,39.26,29.1,35.5,46.84,57.22,Moderate,0.455,0"
"30,2023-06-29 02:39:00,2023-06-29,02:39,2,39,Thursday,3,6,2023,26,0,0,0,0,1,Sankaranpalayam Rd,local,tertiary,12.91634,79.122453,10.51,2,40,0,0,0,1,0,Clear,35.2,53.2,5000,0.0,24.1,None,0,0,0,8.92,562,78,300,130,52,22,2,37.6,51.0,17.7,5.25,16.77,15.76,1.01,1.064,937.5,0.089,27.77,53,0.094,0.2,1.0,1.0,0.0,4.31,8.08,33.4,39.3,10.42,28.63,Free Flow,0.089,0"
"31,2023-01-23 21:25:00,2023-01-23,21:25,21,25,Monday,0,1,2023,4,0,0,0,0,0,Sathuvachari Road,local,tertiary,12.940067,79.179842,3.66,2,40,0,0,0,0,0,Clear,34.2,77.7,5000,0.0,24.0,None,0,0,0,44.38,974,107,458,318,109,59,1,28.2,38.1,18.7,10.4,7.79,5.49,2.3,1.419,1624.3,0.444,18.91,266,0.396,0.8,1.0,1.0,42.6,47.56,56.0,21.6,23.3,49.33,31.41,Moderate,0.444,0"
"32,2024-07-06 11:33:00,2024-07-06,11:33,11,33,Saturday,5,7,2024,27,1,0,0,0,0,Gandhi Nagar Road,local,tertiary,12.939451,79.128204,6.27,2,40,0,0,0,0,0,Light Rain,28.9,49.0,2000,9.2,14.0,None,0,0,0,100.0,3762,216,2072,922,442,227,3,11.7,17.4,7.3,6.76,32.15,9.4,22.75,3.42,6270.0,1.0,5.0,600,1.037,1.4,0.88,1.0,85.42,101.46,97.74,14.5,15.8,101.69,112.9,Gridlock,1.0,1"
"33,2023-04-21 21:14:00,2023-04-21,21:14,21,14,Friday,4,4,2023,16,0,0,0,0,0,Poonai Road,local,tertiary,12.936654,79.154443,5.92,2,40,0,0,0,0,0,Clear,35.2,91.9,5000,0.0,19.5,None,0,0,0,46.86,1664,102,680,345,248,44,1,27.5,40.0,9.7,7.9,12.92,8.88,4.04,1.455,2774.1,0.469,18.29,281,0.469,0.8,1.0,1.0,54.15,64.7,42.82,31.4,19.2,45.16,30.82,Moderate,0.469,0"
"34,2024-09-22 13:17:00,2024-09-22,13:17,13,17,Sunday,6,9,2024,38,1,0,0,0,0,Vellore Bus Stand,local,residential,12.929073,79.135417,0.88,1,30,0,0,0,0,1,Clear,30.7,64.4,5000,0.0,1.8,Road Work,1,35,3,48.89,129,8,54,47,12,7,0,20.2,22.6,8.8,14.85,2.61,1.76,0.85,1.483,430.2,0.489,17.78,146,0.507,0.9,1.0,0.65,40.05,62.08,51.6,21.6,27.7,43.55,59.86,Moderate,0.489,0"
"35,2023-01-03 08:54:00,2023-01-03,08:54,8,54,Tuesday,1,1,2023,1,0,0,1,0,0,Thorapadi Road,SH66,secondary,12.923082,79.116084,11.82,2,50,1,0,0,0,0,Clear,41.8,69.7,5000,0.0,0.5,VIP Movement,1,16,3,21.48,1523,84,835,464,189,73,2,42.8,55.9,14.7,8.55,16.57,14.18,2.39,1.169,2538.9,0.215,24.63,128,0.233,1.8,1.0,0.6,7.78,32.81,39.83,43.1,41.8,30.76,3.91,Light,0.215,0"
"36,2024-02-16 13:43:00,2024-02-16,13:43,13,43,Friday,4,2,2024,7,0,0,0,0,0,Vellore Bus Stand,local,residential,12.926662,79.132643,1.74,1,30,0,0,0,0,1,Light Rain,36.8,64.4,2000,9.1,21.4,None,0,0,0,24.17,126,11,65,32,12,5,0,22.1,31.8,12.4,12.0,4.72,3.48,1.24,1.356,420.6,0.242,23.96,72,0.246,1.3,0.88,1.0,15.62,22.23,10.59,19.5,21.0,22.49,7.97,Light,0.242,0"
"37,2023-11-17 21:16:00,2023-11-17,21:16,21,16,Friday,4,11,2023,46,0,0,0,0,0,Ranipet Road,NH48,primary,12.886246,79.114226,4.8,3,60,1,0,0,1,0,Clear,26.7,90.8,5000,0.0,1.8,Road Work,1,33,5,22.04,952,101,508,268,130,72,3,51.2,74.1,30.1,14.59,5.62,4.8,0.82,1.171,1057.9,0.22,24.49,198,0.216,0.8,1.0,0.65,17.59,25.16,7.68,53.7,44.6,14.2,35.85,Light,0.22,0"
"38,2023-04-28 08:36:00,2023-04-28,08:36,8,36,Friday,4,4,2023,17,0,0,1,0,0,Poonai Road,local,tertiary,12.93639,79.156378,3.1,2,40,0,0,0,0,0,Cloudy,31.7,70.9,3000,0.0,0.9,Accident,1,174,3,49.7,924,111,426,247,46,66,3,25.9,29.2,15.4,14.63,7.18,4.65,2.53,1.544,1540.7,0.497,17.57,298,0.411,1.8,0.97,0.55,50.61,44.75,47.38,20.4,21.4,46.19,67.36,Moderate,0.497,0"
"39,2023-03-28 01:09:00,2023-03-28,01:09,1,9,Tuesday,1,3,2023,13,0,0,0,0,1,Thorapadi Road,SH66,secondary,12.92392,79.110932,2.31,2,50,1,0,0,0,0,Light Rain,35.1,77.1,2000,3.4,3.4,None,0,0,0,8.17,113,10,51,37,11,6,0,41.6,49.4,28.9,2.71,3.33,2.77,0.56,1.202,188.7,0.082,27.96,48,0.07,0.2,0.88,1.0,21.53,18.86,21.38,38.2,32.5,8.12,5.4,Free Flow,0.082,0"
"40,2024-01-25 17:45:00,2024-01-25,17:45,17,45,Thursday,3,1,2024,4,0,0,0,1,0,Gandhi Nagar Road,local,tertiary,12.940862,79.124098,3.15,2,40,0,0,0,1,0,Clear,34.1,76.7,5000,0.0,9.4,None,0,0,0,100.0,1890,175,908,619,149,83,2,13.3,15.5,9.0,7.98,14.21,4.72,9.49,3.011,3150.0,1.0,5.0,600,1.007,1.9,1.0,1.0,95.86,97.47,80.29,12.3,10.9,91.57,114.82,Gridlock,1.0,1"
"41,2023-08-15 10:49:00,2023-08-15,10:49,10,49,Tuesday,1,8,2023,33,0,1,1,0,0,Jolarpet Road,NH234,primary,12.943774,79.183289,2.43,3,60,1,0,0,0,0,Light Rain,33.2,46.3,2000,5.6,7.1,None,0,0,0,74.55,1630,105,716,522,205,96,1,26.6,39.4,14.7,8.03,5.48,2.43,3.05,2.255,1811.6,0.745,11.36,670,0.722,1.8,0.88,1.0,76.93,81.8,93.65,28.9,38.3,71.01,93.39,Heavy,0.745,1"
"42,2023-06-04 14:04:00,2023-06-04,14:04,14,4,Sunday,6,6,2023,22,1,0,0,0,0,Jolarpet Road,NH234,primary,12.941117,79.175476,5.89,3,60,1,0,0,0,0,Clear,35.4,83.8,5000,0.0,8.6,None,0,0,0,14.01,742,84,441,161,81,31,0,54.4,69.6,33.9,10.47,6.5,5.89,0.61,1.104,825.2,0.14,26.5,125,0.126,0.9,1.0,1.0,13.28,0.04,0.0,48.1,64.0,10.88,22.58,Free Flow,0.14,0"
"43,2024-10-23 05:02:00,2024-10-23,05:02,5,2,Wednesday,2,10,2024,43,0,0,0,0,1,Kasturibai Road,local,secondary,12.927429,79.128788,3.35,2,50,1,0,1,0,0,Clear,31.9,64.2,5000,0.0,17.9,None,0,0,0,7.59,152,19,80,32,9,9,2,47.5,57.0,30.4,14.54,4.23,4.02,0.21,1.052,254.3,0.076,28.1,45,0.074,0.2,1.0,1.0,0.0,0.0,15.77,54.2,42.9,10.71,14.08,Free Flow,0.076,0"
"44,2024-09-01 22:05:00,2024-09-01,22:05,22,5,Sunday,6,9,2024,35,1,0,0,0,1,Gandhi Nagar Road,local,tertiary,12.943888,79.126354,4.06,2,40,0,0,0,0,0,Cloudy,30.8,83.5,3000,0.0,19.4,None,0,0,0,63.01,1534,141,724,418,104,50,3,22.5,26.5,15.7,4.01,10.83,6.09,4.74,1.778,2558.2,0.63,14.25,377,0.56,0.9,0.97,1.0,71.65,63.32,65.0,26.3,23.1,66.25,78.07,Heavy,0.63,1"
"45,2023-05-15 19:24:00,2023-05-15,19:24,19,24,Monday,0,5,2023,20,0,0,0,1,0,Thorapadi Road,SH66,secondary,12.919937,79.111843,2.27,2,50,1,0,0,0,0,Heavy Rain,27.3,78.1,800,55.6,29.1,None,0,0,0,79.15,1078,119,593,384,79,37,3,15.4,22.5,5.8,10.82,8.84,2.72,6.12,3.25,1796.7,0.792,10.21,474,0.769,1.9,0.65,1.0,77.37,89.93,93.06,15.4,13.4,72.39,67.14,Heavy,0.792,1"
"46,2023-05-22 08:03:00,2023-05-22,08:03,8,3,Monday,0,5,2023,21,0,0,1,0,0,Thorapadi Road,SH66,secondary,12.927131,79.110928,7.87,2,50,1,0,0,0,0,Clear,39.7,70.5,5000,0.0,4.4,Accident,1,41,4,31.07,1467,86,853,533,203,111,3,39.6,44.4,19.8,5.07,11.92,9.44,2.48,1.263,2445.2,0.311,22.23,186,0.341,1.8,1.0,0.55,27.32,12.2,52.61,45.0,43.2,36.9,16.57,Light,0.311,0"
"47,2024-04-28 22:53:00,2024-04-28,22:53,22,53,Sunday,6,4,2024,17,1,0,0,0,1,Sathuvachari Road,local,tertiary,12.94345,79.176288,2.1,2,40,0,0,0,0,0,Light Rain,36.7,64.7,2000,1.0,15.8,None,0,0,0,23.12,291,17,133,75,15,13,3,29.8,33.5,18.9,8.5,4.23,3.15,1.08,1.343,485.5,0.231,24.22,138,0.222,0.9,0.88,1.0,27.08,26.12,34.05,26.5,17.8,20.18,25.95,Light,0.231,0"
"48,2024-11-11 21:05:00,2024-11-11,21:05,21,5,Monday,0,11,2024,46,0,0,0,0,0,Sankaranpalayam Rd,local,tertiary,12.914003,79.128633,6.52,2,40,0,0,0,1,0,Light Rain,30.5,92.4,2000,5.9,11.6,None,0,0,0,33.84,1323,115,726,359,75,45,0,27.3,38.5,16.2,6.32,14.33,9.78,4.55,1.465,2206.4,0.338,21.54,202,0.275,0.8,0.88,1.0,35.22,46.38,17.59,31.8,26.5,37.75,39.11,Light,0.338,0"
"49,2023-03-06 22:49:00,2023-03-06,22:49,22,49,Monday,0,3,2023,10,0,0,0,0,1,Gandhi Nagar Road,local,tertiary,12.939601,79.123482,11.35,2,40,0,0,0,0,0,Cloudy,24.7,51.1,3000,0.0,14.2,None,0,0,0,26.13,1779,95,941,457,242,40,2,32.0,38.7,19.8,7.68,21.28,17.02,4.26,1.25,2965.8,0.261,23.47,156,0.24,0.8,0.97,1.0,24.32,44.39,18.08,27.0,36.6,23.48,38.02,Light,0.261,0"
"50,2023-03-26 23:27:00,2023-03-26,23:27,23,27,Sunday,6,3,2023,12,1,0,0,0,1,VIT University Rd,local,secondary,12.972509,79.145565,1.41,2,50,1,0,0,0,0,Clear,34.8,85.2,5000,0.0,12.8,None,0,0,0,14.4,121,14,56,25,16,4,3,45.2,54.7,31.3,14.32,1.87,1.69,0.18,1.107,203.0,0.144,26.4,85,0.118,0.9,1.0,1.0,18.53,8.93,29.45,48.1,56.1,7.26,18.7,Free Flow,0.144,0"
"51,2023-02-05 04:04:00,2023-02-05,04:04,4,4,Sunday,6,2,2023,5,1,0,0,0,1,Ambur Road,NH234,primary,12.982999,79.13461,3.21,3,60,1,0,0,0,0,Clear,35.6,59.9,5000,0.0,2.3,None,0,0,0,6.45,186,11,88,48,14,14,0,57.4,80.0,28.7,7.03,3.36,3.21,0.15,1.047,207.0,0.065,28.39,57,0.062,0.3,1.0,1.0,0.0,0.0,3.76,65.3,52.3,14.78,6.1,Free Flow,0.065,0"
