"record_id,timestamp,date,time,hour,minute,day_of_week,day_number,month,year,week_of_year,season,is_weekend,is_holiday,shift_label,is_morning_peak,is_evening_peak,is_night,hospital_id,hospital_name,hospital_level,er_capacity,patients_in_er,waiting_count,critical_patients,stable_patients,admitted_this_hour,discharged_this_hour,referred_out_this_hour,walk_in_patients,ambulance_arrivals,pediatric_cases,obstetric_cases,dominant_emergency_type,avg_wait_time_min,max_wait_time_min,avg_treatment_time_min,door_to_doctor_min,triage_duration_min,bed_turnover_rate,doctors_on_duty,nurses_on_duty,paramedics_on_duty,duty_doctor_specialist,defibrillator_operational,ct_scan_operational,xray_operational,lab_tat_min,oxygen_status,blood_units_available,ppe_adequate,temperature_celsius,humidity_percent,weather_condition,rain_impact_multiplier,er_load_ratio,icu_load_ratio,bed_occupancy_ratio,load_lag_1h,load_lag_2h,load_lag_24h,load_lag_7d,load_rolling_3h_avg,load_rolling_7d_avg,load_rolling_24h_std,local_event_nearby,highway_accident_reported,epidemic_alert_active,predicted_load_next_1h,er_load_class_next_1h,will_be_overloaded_next_1h"
"11,2023-01-11 17:00:00,2023-01-11,17:00,17,0,Wednesday,2,1,2023,2,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,70,27,0,60,3,8,1,21,5,11,1,Road Accident,159.4,326.2,177.4,4.9,10.6,3.2,7,16,3,1,1,1,1,38.5,Low,7,1,34.9,68.1,Heavy Rain,1.3,1.167,0.58,0.652,1.247,1.074,0.985,1.135,1.163,1.173,0.0994,0,0,0,1.321,Overloaded,1"
"12,2023-01-12 04:00:00,2023-01-12,04:00,4,0,Thursday,3,1,2023,2,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,18,0,2,12,3,1,0,0,2,2,0,Fracture/Trauma,0.0,0.0,68.2,23.3,10.7,0.4,5,12,2,1,1,1,1,73.9,Full,1,0,34.9,57.7,Heavy Rain,1.3,0.3,0.99,0.8,0.288,0.214,0.289,0.501,0.267,0.389,0.1606,0,0,0,0.273,Low,0"
"13,2023-01-13 18:00:00,2023-01-13,18:00,18,0,Friday,4,1,2023,2,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,6,54,15,12,1,14,4,11,3,Road Accident,100.9,277.1,130.0,17.8,13.7,4.8,7,16,6,1,1,1,1,67.2,Medium,16,1,32.4,70.7,Clear,1.0,1.0,0.904,0.636,0.991,1.09,1.067,1.244,1.027,1.029,0.1622,0,0,0,1.183,Overloaded,1"
"14,2023-01-14 14:00:00,2023-01-14,14:00,14,0,Saturday,5,1,2023,2,Winter,1,1,Afternoon,0,0,0,H001,CMC Vellore,Tertiary,60,70,27,4,56,7,8,2,18,3,7,0,Stroke,124.2,361.9,106.4,11.1,7.1,3.2,7,16,4,1,1,1,1,31.0,Low,34,1,31.5,58.2,Heavy Rain,1.3,1.167,0.939,0.739,1.15,1.079,1.135,1.369,1.132,1.192,0.0764,0,0,0,1.276,Overloaded,1"
"15,2023-01-15 21:00:00,2023-01-15,21:00,21,0,Sunday,6,1,2023,2,Winter,1,1,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,70,27,6,54,23,5,3,8,3,4,0,Fracture/Trauma,205.1,452.3,176.9,23.2,2.7,2.0,7,16,3,0,0,1,1,17.0,Full,49,1,35.6,47.5,Heavy Rain,1.3,1.167,0.424,0.515,1.103,1.095,1.098,1.144,1.122,1.118,0.072,0,0,0,1.351,Overloaded,1"
"16,2023-01-16 07:00:00,2023-01-16,07:00,7,0,Monday,0,1,2023,3,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,48,9,1,47,18,3,0,6,0,9,1,Road Accident,47.9,79.2,61.0,23.9,13.1,1.2,8,20,5,1,1,1,1,23.6,Low,50,0,38.7,93.1,Clear,1.0,0.8,0.72,0.824,0.816,0.929,0.83,1.004,0.848,0.763,0.0417,0,1,0,0.944,High,0"
"17,2023-01-17 13:00:00,2023-01-17,13:00,13,0,Tuesday,1,1,2023,3,Winter,0,0,Morning,0,0,0,H001,CMC Vellore,Tertiary,60,70,26,1,58,13,11,5,8,3,3,3,Stroke,193.9,456.6,93.6,21.0,6.4,4.4,8,20,4,1,1,1,1,35.3,Full,31,1,38.5,69.6,Heavy Rain,1.3,1.167,0.879,0.667,1.16,1.265,1.204,1.078,1.197,1.091,0.1797,0,0,0,1.374,Overloaded,1"
"18,2023-01-18 00:00:00,2023-01-18,00:00,0,0,Wednesday,2,1,2023,3,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,22,0,1,21,1,1,0,5,2,3,2,Cardiac Arrest,0.0,0.0,98.2,9.2,11.4,0.4,5,12,3,0,1,1,1,74.5,Low,48,1,25.7,52.2,Cloudy,1.0,0.367,0.515,0.862,0.328,0.391,0.356,0.382,0.362,0.345,0.077,0,0,0,0.408,Low,0"
"19,2023-01-19 19:00:00,2023-01-19,19:00,19,0,Thursday,3,1,2023,3,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,70,27,1,59,6,9,1,8,3,1,0,Road Accident,129.7,272.5,68.4,5.0,10.2,3.6,7,16,1,0,1,0,0,36.9,Low,19,1,41.0,75.1,Heavy Rain,1.3,1.167,0.549,0.773,1.088,1.021,1.081,1.156,1.092,1.119,0.1007,0,0,0,1.386,Overloaded,1"
"20,2023-01-20 16:00:00,2023-01-20,16:00,16,0,Friday,4,1,2023,3,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,58,25,7,51,9,13,2,9,5,7,0,Road Accident,146.1,369.8,29.6,27.9,12.2,5.2,7,16,6,1,1,1,1,64.5,Full,27,1,26.8,49.6,Clear,1.0,0.967,0.535,0.573,0.898,0.94,1.043,0.952,0.935,0.827,0.0752,0,1,0,0.919,High,0"
"21,2023-01-21 09:00:00,2023-01-21,09:00,9,0,Saturday,5,1,2023,3,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,66,27,9,51,9,14,0,0,5,13,2,Road Accident,144.3,341.2,68.7,23.6,4.3,5.6,8,20,5,1,1,1,1,21.0,Medium,11,1,24.7,63.8,Rain,1.1,1.1,0.662,0.899,1.121,0.958,0.992,1.187,1.06,1.208,0.1947,0,0,0,1.161,Overloaded,1"
"22,2023-01-22 10:00:00,2023-01-22,10:00,10,0,Sunday,6,1,2023,3,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,70,27,2,58,10,13,5,16,2,9,3,Obstetric Emergency,147.9,360.6,126.0,23.5,4.6,5.2,8,20,5,0,1,1,1,38.6,Medium,28,1,29.8,93.4,Heavy Rain,1.3,1.167,0.691,0.514,1.24,1.264,0.967,1.352,1.224,1.156,0.1371,0,0,0,1.014,Overloaded,1"
"23,2023-01-23 09:00:00,2023-01-23,09:00,9,0,Monday,0,1,2023,4,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,70,27,8,52,13,2,1,16,5,14,1,Road Accident,215.0,601.1,166.1,10.5,12.3,0.8,8,20,4,0,1,1,1,84.9,Low,17,1,29.3,78.8,Heavy Rain,1.3,1.167,0.57,0.646,1.234,1.311,1.064,1.193,1.237,1.132,0.1298,0,0,0,1.368,Overloaded,1"
"24,2023-01-24 04:00:00,2023-01-24,04:00,4,0,Tuesday,1,1,2023,4,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,20,0,1,15,2,2,0,6,5,1,3,Pediatric Emergency,0.0,0.0,106.9,6.4,14.5,0.8,5,12,3,1,1,1,1,32.9,Medium,6,1,30.9,87.1,Heavy Rain,1.3,0.333,0.674,0.854,0.242,0.406,0.415,0.489,0.327,0.299,0.0997,0,0,0,0.36,Low,0"
"25,2023-01-25 15:00:00,2023-01-25,15:00,15,0,Wednesday,2,1,2023,4,Winter,0,0,Afternoon,0,0,0,H001,CMC Vellore,Tertiary,60,58,24,4,54,10,12,5,3,3,2,2,Fracture/Trauma,81.6,233.0,72.6,4.2,12.3,4.8,7,16,3,0,1,1,1,72.0,Medium,9,1,39.7,42.0,Clear,1.0,0.967,0.647,0.834,0.914,1.022,0.882,0.831,0.968,0.844,0.0606,0,0,0,1.153,Overloaded,1"
"26,2023-01-26 12:00:00,2023-01-26,12:00,12,0,Thursday,3,1,2023,4,Winter,0,1,Morning,0,0,0,H001,CMC Vellore,Tertiary,60,70,27,3,57,15,18,1,9,1,6,3,Pediatric Emergency,112.3,186.4,122.1,13.3,6.7,7.2,8,20,3,1,1,0,1,82.6,Medium,1,1,36.2,48.7,Heavy Rain,1.3,1.167,0.795,0.634,1.256,1.313,1.087,1.398,1.245,1.224,0.1262,0,0,0,1.179,Overloaded,1"
"27,2023-01-27 01:00:00,2023-01-27,01:00,1,0,Friday,4,1,2023,4,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,23,0,3,20,4,6,0,2,0,2,2,Cardiac Arrest,0.0,0.0,117.1,7.7,3.7,2.4,5,12,5,1,1,1,1,71.7,Medium,33,1,37.8,77.4,Cloudy,1.0,0.383,0.564,0.581,0.409,0.504,0.442,0.287,0.432,0.365,0.1854,0,0,0,0.403,Low,0"
"28,2023-01-28 09:00:00,2023-01-28,09:00,9,0,Saturday,5,1,2023,4,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,70,27,5,55,3,14,0,21,1,7,0,Road Accident,100.0,242.9,174.6,28.5,6.3,5.6,8,20,5,0,1,1,1,74.3,Full,40,1,24.3,69.5,Heavy Rain,1.3,1.167,0.946,0.648,1.141,1.242,1.072,1.108,1.183,1.209,0.0994,0,0,0,1.144,Overloaded,1"
"29,2023-01-29 09:00:00,2023-01-29,09:00,9,0,Sunday,6,1,2023,4,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,70,27,1,59,3,7,4,11,0,10,2,Road Accident,99.3,230.0,92.6,29.4,6.7,2.8,8,20,4,0,1,1,1,46.1,Full,29,1,25.8,66.9,Heavy Rain,1.3,1.167,0.527,0.813,1.255,1.101,1.243,1.026,1.174,1.15,0.1951,0,0,0,1.088,Overloaded,1"
"30,2023-01-30 04:00:00,2023-01-30,04:00,4,0,Monday,0,1,2023,5,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,18,0,0,18,1,4,0,6,1,2,0,Respiratory Distress,0.0,0.0,54.6,4.4,11.6,1.6,5,12,5,0,1,1,1,15.2,Full,30,1,39.5,48.0,Cloudy,1.0,0.3,0.617,0.791,0.308,0.39,0.144,0.483,0.333,0.19,0.1068,0,0,0,0.293,Low,0"
"31,2023-01-31 23:00:00,2023-01-31,23:00,23,0,Tuesday,1,1,2023,5,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,35,0,5,30,8,4,0,6,4,4,3,Cardiac Arrest,0.0,0.0,174.2,14.6,12.3,1.6,5,12,1,1,1,1,1,23.1,Low,49,1,36.8,64.4,Clear,1.0,0.583,0.919,0.711,0.547,0.478,0.433,0.645,0.536,0.609,0.181,0,0,0,0.641,Medium,0"
"32,2023-02-01 12:00:00,2023-02-01,12:00,12,0,Wednesday,2,2,2023,5,Winter,0,0,Morning,0,0,0,H001,CMC Vellore,Tertiary,60,62,23,1,56,10,13,2,11,5,12,3,Stroke,145.5,407.7,79.9,22.5,14.6,5.2,8,20,5,0,1,1,1,21.4,Full,36,1,31.8,81.0,Rain,1.1,1.033,0.493,0.736,1.095,1.05,1.068,1.064,1.059,0.982,0.174,0,0,0,0.922,High,0"
"33,2023-02-02 03:00:00,2023-02-02,03:00,3,0,Thursday,3,2,2023,5,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,18,0,2,16,3,3,0,5,3,0,1,Cardiac Arrest,0.0,0.0,175.9,29.2,3.2,1.2,5,12,5,0,1,1,0,84.7,Medium,29,1,38.9,54.7,Cloudy,1.0,0.3,0.622,0.854,0.255,0.379,0.469,0.226,0.311,0.204,0.1621,0,0,0,0.27,Low,0"
"34,2023-02-03 01:00:00,2023-02-03,01:00,1,0,Friday,4,2,2023,5,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,19,0,2,16,0,5,0,0,0,1,2,Cardiac Arrest,0.0,0.0,90.9,23.7,11.9,2.0,5,12,3,0,1,1,1,71.6,Full,31,1,26.0,63.6,Rain,1.1,0.317,0.505,0.686,0.353,0.345,0.328,0.221,0.338,0.233,0.1496,0,0,0,0.379,Low,0"
"35,2023-02-04 11:00:00,2023-02-04,11:00,11,0,Saturday,5,2,2023,5,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,60,27,0,60,13,0,3,7,3,9,3,Unknown/General,205.4,469.5,157.9,13.7,6.0,0.0,8,20,3,0,1,1,1,36.7,Full,4,1,31.3,93.1,Cloudy,1.0,1.0,0.468,0.75,1.06,1.035,1.133,1.21,1.032,0.876,0.184,0,0,0,1.146,Overloaded,1"
"36,2023-02-05 20:00:00,2023-02-05,20:00,20,0,Sunday,6,2,2023,5,Winter,1,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,66,27,3,57,3,4,2,8,4,0,2,Road Accident,107.6,243.3,116.4,11.4,7.9,1.6,7,16,1,0,1,1,1,71.6,Medium,4,1,37.7,64.7,Rain,1.1,1.1,0.986,0.544,1.173,1.138,0.96,0.884,1.137,1.083,0.131,0,0,0,1.052,Overloaded,1"
"37,2023-02-06 23:00:00,2023-02-06,23:00,23,0,Monday,0,2,2023,6,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,36,0,3,33,14,9,0,2,2,5,2,Pediatric Emergency,0.0,0.0,71.4,23.9,10.8,3.6,5,12,1,1,1,1,1,75.8,Low,21,1,39.1,94.0,Clear,1.0,0.6,0.457,0.832,0.601,0.502,0.499,0.569,0.568,0.582,0.0783,0,0,0,0.62,Medium,0"
"38,2023-02-07 19:00:00,2023-02-07,19:00,19,0,Tuesday,1,2,2023,6,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,5,55,2,18,5,13,4,5,0,Road Accident,100.1,204.6,76.0,7.9,4.8,7.2,7,16,4,0,1,1,1,56.9,Full,9,1,35.6,58.1,Cloudy,1.0,1.0,0.907,0.55,1.034,1.099,1.096,1.093,1.044,1.008,0.161,0,0,0,1.076,Overloaded,1"
"39,2023-02-08 01:00:00,2023-02-08,01:00,1,0,Wednesday,2,2,2023,6,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,27,0,1,20,6,1,0,7,1,2,3,Cardiac Arrest,0.0,0.0,153.0,10.6,7.0,0.4,5,12,5,1,1,1,1,45.8,Full,12,1,36.2,53.1,Heavy Rain,1.3,0.45,0.483,0.623,0.472,0.526,0.564,0.317,0.483,0.372,0.139,0,0,0,0.535,Medium,0"
"40,2023-02-09 03:00:00,2023-02-09,03:00,3,0,Thursday,3,2,2023,6,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,19,0,2,16,1,2,0,1,0,2,0,Cardiac Arrest,0.0,0.0,45.6,20.5,12.3,0.8,5,12,2,0,1,1,1,86.0,Medium,44,1,28.0,64.8,Rain,1.1,0.317,0.855,0.73,0.403,0.291,0.276,0.254,0.337,0.283,0.1346,0,1,0,0.279,Low,0"
"41,2023-02-10 06:00:00,2023-02-10,06:00,6,0,Friday,4,2,2023,6,Winter,0,0,Morning,0,0,0,H001,CMC Vellore,Tertiary,60,39,0,4,35,13,1,0,9,3,2,0,Road Accident,0.0,0.0,58.0,12.7,14.4,0.4,8,20,5,1,1,1,1,49.3,Low,35,0,26.0,89.8,Clear,1.0,0.65,0.924,0.521,0.676,0.673,0.737,0.546,0.666,0.5,0.0958,0,0,0,0.633,Medium,0"
"42,2023-02-11 11:00:00,2023-02-11,11:00,11,0,Saturday,5,2,2023,6,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,70,27,5,55,7,3,4,1,1,14,0,Cardiac Arrest,180.3,355.8,73.2,11.4,7.2,1.2,8,20,5,1,1,1,1,77.3,Full,48,1,36.3,93.9,Heavy Rain,1.3,1.167,0.572,0.922,1.193,1.26,0.992,1.305,1.207,1.154,0.0381,0,0,0,1.112,Overloaded,1"
"43,2023-02-12 11:00:00,2023-02-12,11:00,11,0,Sunday,6,2,2023,6,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,60,27,6,54,23,14,3,13,1,11,3,Pediatric Emergency,126.8,257.1,49.9,4.1,13.3,5.6,8,20,3,1,1,1,1,21.2,Medium,17,1,31.6,63.7,Cloudy,1.0,1.0,0.875,0.528,1.009,0.946,0.832,1.08,0.985,0.942,0.1441,0,0,0,1.061,Overloaded,1"
"44,2023-02-13 23:00:00,2023-02-13,23:00,23,0,Monday,0,2,2023,7,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,44,0,0,34,2,9,0,10,2,3,0,Stroke,0.0,0.0,90.1,8.0,8.7,3.6,5,12,5,0,1,1,1,43.7,Medium,45,1,34.2,73.3,Heavy Rain,1.3,0.733,0.998,0.64,0.823,0.695,0.838,0.77,0.75,0.742,0.1858,0,0,0,0.725,Medium,0"
"45,2023-02-14 02:00:00,2023-02-14,02:00,2,0,Tuesday,1,2,2023,7,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,17,0,2,15,3,0,0,0,2,2,3,Cardiac Arrest,0.0,0.0,174.8,17.9,10.0,0.0,5,12,1,0,1,1,1,36.8,Medium,45,1,29.4,48.7,Cloudy,1.0,0.283,0.715,0.877,0.342,0.286,0.132,0.133,0.304,0.175,0.17,0,0,0,0.319,Low,0"
"46,2023-02-15 20:00:00,2023-02-15,20:00,20,0,Wednesday,2,2,2023,7,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,55,19,7,48,21,16,2,16,2,1,2,Fracture/Trauma,69.2,124.2,152.6,28.8,5.6,6.4,7,16,6,0,1,1,1,47.4,Low,5,1,40.4,43.0,Clear,1.0,0.917,0.501,0.961,0.921,0.858,0.782,1.134,0.899,0.835,0.0562,0,0,0,1.084,Overloaded,1"
"47,2023-02-16 19:00:00,2023-02-16,19:00,19,0,Thursday,3,2,2023,7,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,66,27,9,51,1,0,0,22,0,2,3,Road Accident,87.1,185.0,122.6,15.5,6.4,0.0,7,16,2,0,1,1,1,61.4,Low,20,1,24.5,88.9,Rain,1.1,1.1,0.916,0.978,1.128,1.041,0.998,1.254,1.09,1.072,0.0522,0,0,0,1.11,Overloaded,1"
"48,2023-02-17 10:00:00,2023-02-17,10:00,10,0,Friday,4,2,2023,7,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,66,27,1,59,8,14,1,2,3,8,3,Obstetric Emergency,100.0,295.0,28.1,8.8,6.6,5.6,8,20,1,0,1,1,1,82.7,Low,41,1,38.6,91.4,Rain,1.1,1.1,0.571,0.504,1.038,0.998,1.298,1.083,1.045,1.214,0.0483,0,0,0,1.126,Overloaded,1"
"49,2023-02-18 11:00:00,2023-02-18,11:00,11,0,Saturday,5,2,2023,7,Winter,1,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,60,27,5,55,1,12,0,4,1,9,3,Fracture/Trauma,158.0,355.5,51.1,4.2,3.8,4.8,8,20,3,1,1,1,1,56.2,Low,29,1,38.9,74.3,Clear,1.0,1.0,0.936,0.568,0.926,0.879,0.949,1.243,0.935,1.017,0.1883,0,0,0,0.978,High,0"
"50,2023-02-19 19:00:00,2023-02-19,19:00,19,0,Sunday,6,2,2023,7,Winter,1,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,60,27,4,56,18,10,4,1,4,7,1,Road Accident,192.8,440.8,105.2,22.5,12.1,4.0,7,16,4,0,1,1,1,65.5,Low,15,0,41.6,72.1,Clear,1.0,1.0,0.969,0.554,1.019,0.93,1.062,1.236,0.983,1.024,0.0332,0,0,0,0.93,High,0"
"51,2023-02-20 22:00:00,2023-02-20,22:00,22,0,Monday,0,2,2023,8,Winter,0,0,Night,0,0,1,H001,CMC Vellore,Tertiary,60,45,0,4,37,15,11,0,15,1,3,2,Fracture/Trauma,0.0,0.0,132.9,9.1,14.6,4.4,5,12,3,1,1,1,1,54.4,Low,13,1,29.6,49.5,Rain,1.1,0.75,0.693,0.735,0.759,0.803,0.897,0.84,0.771,0.841,0.1253,0,0,0,0.707,Medium,0"
"52,2023-02-21 09:00:00,2023-02-21,09:00,9,0,Tuesday,1,2,2023,8,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,60,27,8,52,12,12,2,18,1,3,0,Road Accident,209.9,525.7,148.7,17.3,10.3,4.8,8,20,1,0,1,1,1,84.3,Medium,45,1,35.8,81.1,Cloudy,1.0,1.0,0.809,0.567,0.94,1.012,1.173,1.098,0.984,0.891,0.194,0,0,0,1.065,Overloaded,1"
"53,2023-02-22 20:00:00,2023-02-22,20:00,20,0,Wednesday,2,2,2023,8,Winter,0,0,Afternoon,0,1,0,H001,CMC Vellore,Tertiary,60,70,27,7,53,15,6,2,23,2,14,0,Road Accident,124.4,188.3,123.3,18.3,3.4,2.4,7,16,3,0,1,1,1,78.8,Low,34,1,24.7,90.7,Heavy Rain,1.3,1.167,0.934,0.566,1.243,1.07,1.335,1.416,1.16,1.136,0.1157,0,0,0,1.194,Overloaded,1"
"54,2023-02-23 10:00:00,2023-02-23,10:00,10,0,Thursday,3,2,2023,8,Winter,0,0,Morning,1,0,0,H001,CMC Vellore,Tertiary,60,66,27,7,53,20,8,5,8,3,3,3,Poisoning,106.1,279.1,137.9,28.8,5.9,3.2,8,20,6,1,1,1,1,79.2,Medium,41,1,40.1,85.5,Rain,1.1,1.1,0.542,0.827,1.017,1.151,0.974,0.92,1.089,1.047,0.1091,0,0,0,1.03,Overloaded,1"
